species,Topt,group,GCw,GC_tRNA,GC_16S,GC_23S,label
Thermoanaerobacterium xylanolyticum,60.0,Termofil,34.976,58.104,53.934,49.402,1
Kosmotoga olearia,65.0,Termofil,41.546,62.162,61.657,58.266,1
Chloracidobacterium thermophilum,51.0,Termofil,61.338,59.334,54.772,52.86,1
Thermaerobacter marianensis,75.0,Termofil,72.482,64.932,63.651,63.519,1
Thermomonospora curvata,50.0,Termofil,71.642,63.24,60.161,60.112,1
Caldilinea aerophila,55.0,Termofil,58.767,60.648,58.6,57.371,1
Mariprofundus ferrinatatus,27.5,Mesofil,53.656,60.711,53.706,52.203,0
Bacillus mobilis,30.0,Mesofil,35.569,59.069,53.273,51.72,0
Epibacterium mobile,33.5,Mesofil,58.766,59.708,54.731,54.029,0
Clostridium cellulovorans,37.0,Mesofil,31.209,56.591,52.443,50.247,0
Diaphorobacter polyhydroxybutyrativorans,28.0,Mesofil,66.655,59.308,55.107,51.798,0
Niveispirillum cyanobacteriorum,30.0,Mesofil,63.387,62.443,56.604,56.051,0
Archangium gephyra,25.0,Mesofil,69.449,62.406,56.697,55.182,0
Alkaliphilus oremlandii,37.0,Mesofil,36.257,58.705,53.945,50.92,0
Immundisolibacter cernigliae,29.0,Mesofil,67.793,61.43,55.498,54.302,0
Octadecabacter temperatus,20.0,Mesofil,54.683,60.169,54.021,51.095,0
Paenibacillus beijingensis,30.0,Mesofil,52.536,58.925,56.155,55.116,0
Bacillus kochii,30.0,Mesofil,36.771,58.285,53.461,52.119,0
Vibrio tapetis,18.0,Mesofil,43.671,58.434,54.853,51.007,0
Bacillus altitudinis,33.5,Mesofil,41.298,59.193,55.026,53.416,0
Yangia pacifica,37.0,Mesofil,66.52,60.722,55.351,54.08,0
Burkholderia plantarii,33.5,Mesofil,68.553,60.492,54.045,52.516,0
Gramella flava,30.0,Mesofil,42.145,56.007,,,0
Planococcus halocryophilus,25.0,Mesofil,40.051,59.323,55.588,53.286,0
Kocuria palustris,28.0,Mesofil,70.498,62.248,56.982,55.664,0
Glutamicibacter halophytocola,26.5,Mesofil,59.986,59.278,56.78,54.02,0
Paenibacillus bovis,32.5,Mesofil,47.216,58.716,54.375,53.78,0
Anaerostipes hadrus,37.0,Mesofil,37.284,56.9,52.95,51.55,0
Spirosoma radiotolerans,27.5,Mesofil,49.472,55.996,54.459,54.364,0
Nitratifractor salsuginis,37.0,Mesofil,53.912,60.342,55.482,53.084,0
Haliangium ochraceum,32.0,Mesofil,69.483,60.713,55.57,53.708,0
Acidiphilium multivorum,31.0,Mesofil,66.97,61.71,56.774,55.484,0
Oblitimonas alkaliphila,27.5,Mesofil,47.363,59.934,52.733,51.132,0
Chitinophaga pinensis,23.5,Mesofil,45.227,53.67,51.189,48.119,0
Mesoplasma coleopterae,33.5,Mesofil,27.217,55.975,49.438,47.596,0
Deinococcus actinosclerus,25.0,Mesofil,70.599,59.346,55.246,56.278,0
Akkermansia glycaniphila,27.5,Mesofil,57.646,56.757,,,0
Escherichia marmotae,37.0,Mesofil,50.395,58.782,54.376,53.213,0
Salinispira pacifica,35.0,Mesofil,51.86,59.289,53.731,51.061,0
